(1500, 1500):: Color: 0, Turn: 1
(1530, 1500):: Color: 0, Turn: 1
(1531, 1500):: Color: 1, Turn: 1
(1531, 1499):: Color: 1, Turn: -1
(1532, 1499):: Color: 0, Turn: -1
(1532, 1500):: Color: 0, Turn: 1
(1533, 1500):: Color: 0, Turn: 1
(1533, 1499):: Color: 0, Turn: -1
(1534, 1499):: Color: 1, Turn: -1
(1534, 1500):: Color: 1, Turn: 1
(1535, 1500):: Color: 0, Turn: 1
(1535, 1499):: Color: 0, Turn: -1
(1536, 1499):: Color: 1, Turn: -1
(1536, 1500):: Color: 1, Turn: 1
(1537, 1500):: Color: 1, Turn: 1
(1537, 1499):: Color: 0, Turn: -1
(1538, 1499):: Color: 0, Turn: -1
(1538, 1500):: Color: 1, Turn: 1
(1539, 1500):: Color: 0, Turn: 1
(1539, 1499):: Color: 1, Turn: -1
(1540, 1499):: Color: 0, Turn: -1
(1540, 1500):: Color: 0, Turn: 1
(1541, 1500):: Color: 0, Turn: 1
(1541, 1499):: Color: 0, Turn: -1
(1542, 1499):: Color: 0, Turn: 1
(1542, 1498):: Color: 0, Turn: 1
(1541, 1498):: Color: 0, Turn: -1
(1541, 1497):: Color: 0, Turn: 1
(1540, 1497):: Color: 0, Turn: 1
(1540, 1498):: Color: 0, Turn: -1
(1539, 1498):: Color: 0, Turn: -1
(1539, 1497):: Color: 1, Turn: 1
(1538, 1497):: Color: 0, Turn: 1
(1538, 1498):: Color: 1, Turn: -1
(1537, 1498):: Color: 1, Turn: -1
(1537, 1497):: Color: 0, Turn: 1
(1536, 1497):: Color: 1, Turn: 1
(1536, 1498):: Color: 1, Turn: -1
(1535, 1498):: Color: 0, Turn: -1
(1535, 1497):: Color: 0, Turn: 1
(1534, 1497):: Color: 1, Turn: 1
(1534, 1498):: Color: 1, Turn: -1
(1533, 1498):: Color: 1, Turn: -1
(1533, 1497):: Color: 0, Turn: 1
(1532, 1497):: Color: 0, Turn: 1
(1532, 1498):: Color: 1, Turn: -1
(1531, 1498):: Color: 1, Turn: -1
(1531, 1497):: Color: 1, Turn: 1
(1530, 1497):: Color: 0, Turn: 1
(1530, 1498):: Color: 0, Turn: -1
(1529, 1498):: Color: 1, Turn: -1
(1529, 1497):: Color: 1, Turn: 1
(1528, 1497):: Color: 0, Turn: 1
(1528, 1498):: Color: 0, Turn: -1
(1527, 1498):: Color: 0, Turn: -1
(1527, 1497):: Color: 0, Turn: 1
(1526, 1497):: Color: 0, Turn: 1
(1526, 1498):: Color: 0, Turn: -1
(1525, 1498):: Color: 0, Turn: -1
(1525, 1497):: Color: 0, Turn: 1
(1524, 1497):: Color: 1, Turn: 1
(1524, 1498):: Color: 1, Turn: -1
(1523, 1498):: Color: 0, Turn: -1
(1523, 1497):: Color: 1, Turn: 1
(1522, 1497):: Color: 1, Turn: 1
(1522, 1498):: Color: 0, Turn: -1
(1521, 1498):: Color: 1, Turn: -1
(1521, 1497):: Color: 1, Turn: 1
(1520, 1497):: Color: 0, Turn: 1
(1520, 1498):: Color: 0, Turn: -1
(1519, 1498):: Color: 0, Turn: -1
(1519, 1497):: Color: 0, Turn: 1
(1518, 1497):: Color: 0, Turn: 1
(1518, 1498):: Color: 1, Turn: -1
(1517, 1498):: Color: 1, Turn: -1
(1517, 1497):: Color: 0, Turn: 1
(1516, 1497):: Color: 1, Turn: 1
(1516, 1498):: Color: 1, Turn: -1
(1515, 1498):: Color: 0, Turn: -1
(1515, 1497):: Color: 0, Turn: 1
(1514, 1497):: Color: 0, Turn: 1
(1514, 1498):: Color: 0, Turn: -1
(1513, 1498):: Color: 1, Turn: -1
(1513, 1497):: Color: 0, Turn: 1
(1512, 1497):: Color: 1, Turn: 1
(1512, 1498):: Color: 0, Turn: -1
(1511, 1498):: Color: 0, Turn: -1
(1511, 1497):: Color: 0, Turn: 1
(1510, 1497):: Color: 0, Turn: 1
(1510, 1498):: Color: 0, Turn: -1
(1509, 1498):: Color: 1, Turn: -1
(1509, 1497):: Color: 0, Turn: 1
(1508, 1497):: Color: 1, Turn: 1
(1508, 1498):: Color: 0, Turn: -1
(1507, 1498):: Color: 0, Turn: -1
(1507, 1497):: Color: 1, Turn: 1
(1506, 1497):: Color: 1, Turn: 1
(1506, 1498):: Color: 1, Turn: -1
(1505, 1498):: Color: 0, Turn: -1
(1505, 1497):: Color: 0, Turn: 1
(1504, 1497):: Color: 0, Turn: 1
(1504, 1498):: Color: 0, Turn: -1
(1503, 1498):: Color: 0, Turn: -1
(1503, 1497):: Color: 1, Turn: 1
(1502, 1497):: Color: 0, Turn: 1
(1502, 1498):: Color: 1, Turn: -1
(1501, 1498):: Color: 1, Turn: -1
(1501, 1497):: Color: 1, Turn: 1
(1500, 1497):: Color: 0, Turn: -1
(1500, 1496):: Color: 0, Turn: -1
(1501, 1496):: Color: 1, Turn: 1
(1501, 1495):: Color: 1, Turn: -1
(1502, 1495):: Color: 0, Turn: -1
(1502, 1496):: Color: 0, Turn: 1
(1503, 1496):: Color: 1, Turn: 1
(1503, 1495):: Color: 0, Turn: -1
(1504, 1495):: Color: 1, Turn: -1
(1504, 1496):: Color: 0, Turn: 1
(1505, 1496):: Color: 0, Turn: 1
(1505, 1495):: Color: 0, Turn: -1
(1506, 1495):: Color: 1, Turn: -1
(1506, 1496):: Color: 1, Turn: 1
(1507, 1496):: Color: 0, Turn: 1
(1507, 1495):: Color: 0, Turn: -1
(1508, 1495):: Color: 0, Turn: -1
(1508, 1496):: Color: 1, Turn: 1
(1509, 1496):: Color: 0, Turn: 1
(1509, 1495):: Color: 1, Turn: -1
(1510, 1495):: Color: 0, Turn: -1
(1510, 1496):: Color: 0, Turn: 1
(1511, 1496):: Color: 1, Turn: 1
(1511, 1495):: Color: 1, Turn: -1
(1512, 1495):: Color: 1, Turn: -1
(1512, 1496):: Color: 0, Turn: 1
(1513, 1496):: Color: 0, Turn: 1
(1513, 1495):: Color: 1, Turn: -1
(1514, 1495):: Color: 1, Turn: -1
(1514, 1496):: Color: 0, Turn: 1
(1515, 1496):: Color: 0, Turn: 1
(1515, 1495):: Color: 0, Turn: -1
(1516, 1495):: Color: 1, Turn: -1
(1516, 1496):: Color: 1, Turn: 1
(1517, 1496):: Color: 0, Turn: 1
(1517, 1495):: Color: 1, Turn: -1
(1518, 1495):: Color: 1, Turn: -1
(1518, 1496):: Color: 0, Turn: 1
(1519, 1496):: Color: 0, Turn: 1
(1519, 1495):: Color: 1, Turn: -1
(1520, 1495):: Color: 0, Turn: -1
(1520, 1496):: Color: 0, Turn: 1
(1521, 1496):: Color: 1, Turn: 1
(1521, 1495):: Color: 1, Turn: -1
(1522, 1495):: Color: 0, Turn: -1
(1522, 1496):: Color: 0, Turn: 1
(1523, 1496):: Color: 0, Turn: 1
(1523, 1495):: Color: 0, Turn: -1
(1524, 1495):: Color: 1, Turn: -1
(1524, 1496):: Color: 1, Turn: 1
(1525, 1496):: Color: 0, Turn: 1
(1525, 1495):: Color: 0, Turn: -1
(1526, 1495):: Color: 0, Turn: -1
(1526, 1496):: Color: 1, Turn: 1
(1527, 1496):: Color: 0, Turn: 1
(1527, 1495):: Color: 1, Turn: -1
(1528, 1495):: Color: 1, Turn: -1
(1528, 1496):: Color: 0, Turn: 1
(1529, 1496):: Color: 1, Turn: 1
(1529, 1495):: Color: 0, Turn: -1
(1530, 1495):: Color: 0, Turn: -1
(1530, 1496):: Color: 0, Turn: 1
(1531, 1496):: Color: 1, Turn: 1
(1531, 1495):: Color: 1, Turn: -1
(1532, 1495):: Color: 0, Turn: -1
(1532, 1496):: Color: 0, Turn: 1
(1533, 1496):: Color: 0, Turn: 1
(1533, 1495):: Color: 0, Turn: -1
(1534, 1495):: Color: 1, Turn: -1
(1534, 1496):: Color: 1, Turn: 1
(1535, 1496):: Color: 0, Turn: 1
(1535, 1495):: Color: 0, Turn: -1
(1536, 1495):: Color: 1, Turn: -1
(1536, 1496):: Color: 1, Turn: 1
(1537, 1496):: Color: 0, Turn: 1
(1537, 1495):: Color: 1, Turn: -1
(1538, 1495):: Color: 1, Turn: -1
(1538, 1496):: Color: 0, Turn: 1
(1539, 1496):: Color: 1, Turn: 1
(1539, 1495):: Color: 0, Turn: -1
(1540, 1495):: Color: 0, Turn: -1
248
 ■  ■ ■■■  ■■■■ ■■■■  ■■    ■■ ■  ■ ■■■  
 ■ ■  ■  ■    ■ ■    ■  ■    ■ ■  ■ ■  ■ 
 ■■   ■  ■   ■  ■■■  ■  ■    ■ ■■■■ ■■■  
 ■ ■  ■■■   ■   ■    ■■■■    ■ ■  ■ ■  ■ 
 ■ ■  ■ ■  ■    ■    ■  ■ ■  ■ ■  ■ ■  ■ 
 ■  ■ ■  ■ ■■■■ ■■■■ ■  ■  ■■  ■  ■ ■■■  
