There are 13 pairs of portals
Starting at 32,13
Aiming for 0,11
Testing at 0: 32,13; Dist: 0
Testing at 3: 28,19; Dist: 61
Testing at 3: 27,20; Dist: 61
Testing at 3: 27,18; Dist: 61
Testing at 3: 5,39; Dist: 62
Testing at 4: 4,21; Dist: 62
Testing at 4: 3,20; Dist: 62
Testing at 3: 29,19; Dist: 62
Testing at 3: 27,21; Dist: 62
Testing at 3: 27,17; Dist: 62
Testing at 4: 5,21; Dist: 63
Testing at 4: 3,19; Dist: 63
Testing at 3: 30,19; Dist: 63
Testing at 3: 27,22; Dist: 63
Testing at 4: 6,21; Dist: 64
Testing at 4: 5,20; Dist: 64
Testing at 3: 31,19; Dist: 64
Testing at 3: 27,23; Dist: 64
Testing at 5: 15,40; Dist: 65
Testing at 4: 5,19; Dist: 65
Testing at 3: 31,18; Dist: 65
Testing at 5: 15,39; Dist: 66
Testing at 4: 6,19; Dist: 66
Testing at 3: 31,17; Dist: 66
Testing at 5: 16,39; Dist: 67
Testing at 5: 15,38; Dist: 67
Testing at 5: 23,0; Dist: 67
Testing at 3: 32,17; Dist: 67
Testing at 3: 30,17; Dist: 67
Testing at 5: 17,39; Dist: 68
Testing at 5: 15,37; Dist: 68
Testing at 5: 23,1; Dist: 68
Testing at 2: 6,11; Dist: 68
Testing at 3: 29,17; Dist: 68
Testing at 5: 18,39; Dist: 69
Testing at 5: 15,36; Dist: 69
Testing at 5: 23,2; Dist: 69
Testing at 2: 5,11; Dist: 69
Testing at 5: 19,39; Dist: 70
Testing at 5: 15,35; Dist: 70
Testing at 5: 23,3; Dist: 70
Testing at 2: 5,10; Dist: 70
Testing at 5: 16,35; Dist: 71
Testing at 5: 24,3; Dist: 71
Testing at 5: 22,3; Dist: 71
Testing at 2: 5,9; Dist: 71
Testing at 5: 17,35; Dist: 72
Testing at 5: 25,3; Dist: 72
Testing at 5: 21,3; Dist: 72
Testing at 2: 5,8; Dist: 72
Testing at 5: 18,35; Dist: 73
Testing at 5: 17,36; Dist: 73
Testing at 5: 26,3; Dist: 73
Testing at 5: 25,4; Dist: 73
Testing at 5: 25,2; Dist: 73
Testing at 5: 21,4; Dist: 73
Testing at 5: 21,2; Dist: 73
Testing at 2: 5,7; Dist: 73
Testing at 5: 19,35; Dist: 74
Testing at 5: 17,37; Dist: 74
Testing at 5: 27,3; Dist: 74
Testing at 5: 25,5; Dist: 74
Testing at 5: 25,1; Dist: 74
Testing at 5: 21,5; Dist: 74
Testing at 5: 21,1; Dist: 74
Testing at 2: 5,6; Dist: 74
Testing at 5: 19,34; Dist: 75
Testing at 5: 18,37; Dist: 75
Testing at 5: 27,4; Dist: 75
Testing at 5: 27,2; Dist: 75
Testing at 5: 22,5; Dist: 75
Testing at 5: 20,5; Dist: 75
Testing at 5: 21,6; Dist: 75
Testing at 2: 5,5; Dist: 75
Testing at 6: 23,40; Dist: 76
Testing at 5: 19,37; Dist: 76
Testing at 5: 27,5; Dist: 76
Testing at 5: 27,1; Dist: 76
Testing at 5: 23,5; Dist: 76
Testing at 5: 19,5; Dist: 76
Testing at 6: 13,0; Dist: 76
Testing at 2: 4,5; Dist: 76
Testing at 6: 23,39; Dist: 77
Testing at 5: 28,5; Dist: 77
Testing at 6: 13,1; Dist: 77
Testing at 2: 3,5; Dist: 77
Testing at 6: 24,39; Dist: 78
Testing at 6: 22,39; Dist: 78
Testing at 6: 23,38; Dist: 78
Testing at 5: 29,5; Dist: 78
Testing at 6: 12,1; Dist: 78
Testing at 6: 13,2; Dist: 78
Testing at 2: 2,5; Dist: 78
Testing at 2: 3,4; Dist: 78
Testing at 6: 25,39; Dist: 79
Testing at 6: 21,39; Dist: 79
Testing at 6: 23,37; Dist: 79
Testing at 5: 30,5; Dist: 79
Testing at 5: 29,6; Dist: 79
Testing at 5: 29,4; Dist: 79
Testing at 6: 11,1; Dist: 79
Testing at 6: 13,3; Dist: 79
Testing at 2: 1,5; Dist: 79
Testing at 2: 3,3; Dist: 79
Testing at 6: 21,38; Dist: 80
Testing at 6: 24,37; Dist: 80
Testing at 6: 23,36; Dist: 80
Testing at 5: 31,5; Dist: 80
Testing at 5: 29,7; Dist: 80
Testing at 5: 29,3; Dist: 80
Testing at 6: 10,1; Dist: 80
Testing at 6: 13,4; Dist: 80
Testing at 2: 1,6; Dist: 80
Testing at 2: 2,3; Dist: 80
Testing at 6: 21,37; Dist: 81
Testing at 6: 25,37; Dist: 81
Testing at 6: 23,35; Dist: 81
Testing at 5: 31,6; Dist: 81
Testing at 5: 31,4; Dist: 81
Testing at 5: 28,7; Dist: 81
Testing at 5: 29,2; Dist: 81
Testing at 6: 9,1; Dist: 81
Testing at 6: 13,5; Dist: 81
Testing at 2: 1,7; Dist: 81
Testing at 2: 1,3; Dist: 81
Testing at 6: 26,37; Dist: 82
Testing at 6: 24,35; Dist: 82
Testing at 6: 22,35; Dist: 82
Testing at 5: 31,7; Dist: 82
Testing at 5: 31,3; Dist: 82
Testing at 5: 27,7; Dist: 82
Testing at 5: 29,1; Dist: 82
Testing at 6: 8,1; Dist: 82
Testing at 6: 12,5; Dist: 82
Testing at 2: 2,7; Dist: 82
Testing at 2: 1,8; Dist: 82
Testing at 2: 1,2; Dist: 82
Testing at 6: 27,37; Dist: 83
Testing at 6: 25,35; Dist: 83
Testing at 6: 21,35; Dist: 83
Testing at 5: 31,2; Dist: 83
Testing at 5: 27,8; Dist: 83
Testing at 6: 7,1; Dist: 83
Testing at 6: 11,5; Dist: 83
Testing at 2: 3,7; Dist: 83
Testing at 2: 1,9; Dist: 83
Testing at 2: 1,1; Dist: 83
Testing at 6: 28,37; Dist: 84
Testing at 6: 27,38; Dist: 84
Testing at 6: 21,34; Dist: 84
Testing at 5: 31,1; Dist: 84
Testing at 5: 27,9; Dist: 84
Testing at 6: 6,1; Dist: 84
Testing at 6: 7,2; Dist: 84
Testing at 6: 10,5; Dist: 84
Testing at 6: 11,6; Dist: 84
Testing at 6: 11,4; Dist: 84
Testing at 2: 2,9; Dist: 84
Testing at 2: 1,10; Dist: 84
Testing at 6: 29,37; Dist: 85
Testing at 6: 27,39; Dist: 85
Testing at 7: 32,21; Dist: 85
Testing at 6: 5,1; Dist: 85
Testing at 6: 7,3; Dist: 85
Testing at 6: 9,5; Dist: 85
Testing at 7: 32,15; Dist: 85
Testing at 6: 11,3; Dist: 85
Testing at 2: 3,9; Dist: 85
Testing at 2: 1,11; Dist: 85
Testing at 6: 30,37; Dist: 86
Testing at 6: 28,39; Dist: 86
Testing at 7: 31,21; Dist: 86
Testing at 6: 4,1; Dist: 86
Testing at 6: 5,2; Dist: 86
Testing at 6: 8,5; Dist: 86
Testing at 6: 9,4; Dist: 86
Testing at 7: 31,15; Dist: 86
Testing at 2: 2,11; Dist: 86
Testing at 2: 0,11; Dist: 86
Testing at 6: 31,37; Dist: 87
Testing at 6: 29,39; Dist: 87
Testing at 7: 30,21; Dist: 87
Testing at 7: 31,22; Dist: 87
Testing at 6: 3,1; Dist: 87
Testing at 6: 5,3; Dist: 87
Testing at 6: 7,5; Dist: 87
Testing at 6: 9,3; Dist: 87
Testing at 7: 30,15; Dist: 87
Testing at 2: 3,11; Dist: 87
Testing at 6: 31,38; Dist: 88
Testing at 7: 29,21; Dist: 88
Testing at 7: 31,23; Dist: 88
Testing at 7: 29,15; Dist: 88
Testing at 2: 3,12; Dist: 88
Testing at 6: 31,39; Dist: 89
Testing at 7: 30,23; Dist: 89
Testing at 7: 31,24; Dist: 89
Testing at 7: 29,14; Dist: 89
Testing at 2: 3,13; Dist: 89
Testing at 7: 29,23; Dist: 90
Testing at 7: 31,25; Dist: 90
Testing at 7: 29,13; Dist: 90
Testing at 2: 4,13; Dist: 90
Testing at 2: 2,13; Dist: 90
Testing at 7: 31,26; Dist: 91
Testing at 7: 29,12; Dist: 91
Testing at 2: 5,13; Dist: 91
Testing at 2: 1,13; Dist: 91
Testing at 7: 31,27; Dist: 92
Testing at 7: 29,11; Dist: 92
Testing at 2: 0,13; Dist: 92
Testing at 7: 30,27; Dist: 93
Testing at 7: 31,28; Dist: 93
Testing at 7: 28,11; Dist: 93
Testing at 7: 29,10; Dist: 93
Testing at 1: 26,27; Dist: 93
Testing at 7: 29,27; Dist: 94
Testing at 7: 31,29; Dist: 94
Testing at 7: 27,11; Dist: 94
Testing at 7: 29,9; Dist: 94
Testing at 1: 27,27; Dist: 94
Testing at 7: 28,27; Dist: 95
Testing at 7: 29,26; Dist: 95
Testing at 7: 31,30; Dist: 95
Testing at 7: 27,12; Dist: 95
Testing at 7: 30,9; Dist: 95
Testing at 1: 28,27; Dist: 95
Testing at 1: 27,26; Dist: 95
Testing at 7: 27,27; Dist: 96
Testing at 7: 29,25; Dist: 96
Testing at 7: 31,31; Dist: 96
Testing at 7: 27,13; Dist: 96
Testing at 7: 31,9; Dist: 96
Testing at 1: 29,27; Dist: 96
Testing at 1: 27,25; Dist: 96
Testing at 7: 26,27; Dist: 97
Testing at 7: 27,26; Dist: 97
Testing at 7: 30,31; Dist: 97
Testing at 7: 31,32; Dist: 97
Testing at 7: 27,14; Dist: 97
Testing at 7: 31,10; Dist: 97
Testing at 1: 30,27; Dist: 97
Testing at 1: 29,26; Dist: 97
Testing at 8: 0,13; Dist: 98
Testing at 7: 27,25; Dist: 98
Testing at 7: 29,31; Dist: 98
Testing at 7: 31,33; Dist: 98
Testing at 7: 27,15; Dist: 98
Testing at 7: 31,11; Dist: 98
Testing at 1: 31,27; Dist: 98
Testing at 1: 29,25; Dist: 98
Testing at 8: 1,13; Dist: 99
Testing at 7: 28,31; Dist: 99
Testing at 7: 29,30; Dist: 99
Testing at 7: 30,33; Dist: 99
Testing at 7: 31,34; Dist: 99
Testing at 7: 26,15; Dist: 99
Testing at 7: 31,12; Dist: 99
Testing at 1: 31,28; Dist: 99
Testing at 1: 31,26; Dist: 99
Testing at 8: 2,13; Dist: 100
Testing at 7: 27,31; Dist: 100
Testing at 7: 29,29; Dist: 100
Testing at 7: 29,33; Dist: 100
Testing at 7: 31,35; Dist: 100
Testing at 8: 19,0; Dist: 100
Testing at 7: 31,13; Dist: 100
Testing at 1: 31,29; Dist: 100
Testing at 1: 31,25; Dist: 100
Testing at 8: 3,13; Dist: 101
Testing at 7: 27,32; Dist: 101
Testing at 7: 27,30; Dist: 101
Testing at 7: 29,34; Dist: 101
Testing at 8: 19,1; Dist: 101
Testing at 7: 32,13; Dist: 101
Testing at 1: 31,30; Dist: 101
Testing at 1: 31,24; Dist: 101
Testing at 8: 4,13; Dist: 102
Testing at 8: 3,12; Dist: 102
Testing at 7: 27,33; Dist: 102
Testing at 7: 27,29; Dist: 102
Testing at 7: 29,35; Dist: 102
Testing at 8: 19,2; Dist: 102
Testing at 1: 31,31; Dist: 102
Testing at 1: 31,23; Dist: 102
Testing at 8: 5,13; Dist: 103
Testing at 8: 3,11; Dist: 103
Testing at 7: 28,35; Dist: 103
Testing at 8: 19,3; Dist: 103
Testing at 1: 30,31; Dist: 103
Testing at 1: 31,32; Dist: 103
Testing at 1: 30,23; Dist: 103
Testing at 1: 31,22; Dist: 103
Testing at 8: 2,11; Dist: 104
Testing at 7: 27,35; Dist: 104
Testing at 8: 18,3; Dist: 104
Testing at 1: 29,31; Dist: 104
Testing at 1: 31,33; Dist: 104
Testing at 1: 29,23; Dist: 104
Testing at 1: 31,21; Dist: 104
Testing at 8: 1,11; Dist: 105
Testing at 8: 17,3; Dist: 105
Testing at 1: 28,31; Dist: 105
Testing at 1: 29,30; Dist: 105
Testing at 1: 30,33; Dist: 105
Testing at 1: 31,34; Dist: 105
Testing at 1: 32,21; Dist: 105
Testing at 1: 30,21; Dist: 105
Testing at 8: 0,11; Dist: 106
Testing at 8: 1,10; Dist: 106
Testing at 8: 17,4; Dist: 106
Testing at 8: 17,2; Dist: 106
Testing at 1: 27,31; Dist: 106
Testing at 1: 29,29; Dist: 106
Testing at 1: 29,33; Dist: 106
Testing at 1: 31,35; Dist: 106
Testing at 0: 21,34; Dist: 106
Testing at 1: 29,21; Dist: 106
Testing at 8: 1,9; Dist: 107
Testing at 8: 17,5; Dist: 107
Testing at 8: 17,1; Dist: 107
Testing at 1: 27,32; Dist: 107
Testing at 1: 27,30; Dist: 107
Testing at 1: 29,34; Dist: 107
Testing at 0: 21,35; Dist: 107
Testing at 8: 2,9; Dist: 108
Testing at 8: 1,8; Dist: 108
Testing at 8: 16,5; Dist: 108
Testing at 8: 16,1; Dist: 108
Testing at 1: 27,33; Dist: 108
Testing at 1: 27,29; Dist: 108
Testing at 1: 29,35; Dist: 108
Testing at 0: 22,35; Dist: 108
Testing at 8: 3,9; Dist: 109
Testing at 8: 1,7; Dist: 109
Testing at 8: 15,5; Dist: 109
Testing at 8: 15,1; Dist: 109
Testing at 1: 28,35; Dist: 109
Testing at 0: 23,35; Dist: 109
Testing at 8: 2,7; Dist: 110
Testing at 8: 1,6; Dist: 110
Testing at 8: 15,6; Dist: 110
Testing at 8: 15,4; Dist: 110
Testing at 1: 27,35; Dist: 110
Testing at 0: 24,35; Dist: 110
Testing at 0: 23,36; Dist: 110
Testing at 8: 3,7; Dist: 111
Testing at 8: 1,5; Dist: 111
Testing at 9: 0,25; Dist: 111
Testing at 8: 15,3; Dist: 111
Testing at 0: 25,35; Dist: 111
Testing at 0: 23,37; Dist: 111
Testing at 8: 2,5; Dist: 112
Testing at 9: 1,25; Dist: 112
Testing at 0: 24,37; Dist: 112
Testing at 0: 23,38; Dist: 112
Testing at 8: 3,5; Dist: 113
Testing at 9: 2,25; Dist: 113
Testing at 9: 1,26; Dist: 113
Testing at 0: 25,37; Dist: 113
Testing at 0: 23,39; Dist: 113
Testing at 8: 4,5; Dist: 114
Testing at 8: 3,4; Dist: 114
Testing at 9: 3,25; Dist: 114
Testing at 9: 1,27; Dist: 114
Testing at 0: 26,37; Dist: 114
Testing at 0: 24,39; Dist: 114
Testing at 0: 22,39; Dist: 114
Testing at 0: 23,40; Dist: 114
Testing at 8: 5,5; Dist: 115
Testing at 8: 3,3; Dist: 115
Testing at 9: 3,24; Dist: 115
Testing at 9: 1,28; Dist: 115
Testing at 0: 27,37; Dist: 115
Testing at 0: 25,39; Dist: 115
Testing at 0: 21,39; Dist: 115
Testing at 8: 5,6; Dist: 116
Testing at 8: 2,3; Dist: 116
Testing at 9: 3,23; Dist: 116
Testing at 9: 1,29; Dist: 116
Testing at 0: 28,37; Dist: 116
Testing at 0: 27,38; Dist: 116
Testing at 0: 21,38; Dist: 116
Testing at 8: 5,7; Dist: 117
Testing at 8: 1,3; Dist: 117
Testing at 9: 4,23; Dist: 117
Testing at 9: 2,23; Dist: 117
Testing at 9: 1,30; Dist: 117
Testing at 0: 29,37; Dist: 117
Testing at 0: 27,39; Dist: 117
Testing at 0: 21,37; Dist: 117
Testing at 8: 5,8; Dist: 118
Testing at 8: 1,2; Dist: 118
Testing at 9: 5,23; Dist: 118
Testing at 9: 1,23; Dist: 118
Testing at 9: 1,31; Dist: 118
Testing at 0: 30,37; Dist: 118
Testing at 0: 28,39; Dist: 118
Testing at 8: 5,9; Dist: 119
Testing at 8: 1,1; Dist: 119
Testing at 9: 5,24; Dist: 119
Testing at 0: 31,37; Dist: 119
Testing at 0: 29,39; Dist: 119
Testing at 8: 5,10; Dist: 120
Testing at 9: 5,25; Dist: 120
Testing at 0: 31,38; Dist: 120
Testing at 8: 5,11; Dist: 121
Testing at 9: 5,26; Dist: 121
Testing at 0: 31,39; Dist: 121
Testing at 8: 6,11; Dist: 122
Testing at 9: 5,27; Dist: 122
Testing at 9: 32,17; Dist: 123
Testing at 9: 4,27; Dist: 123
Testing at 9: 5,28; Dist: 123
Testing at 9: 31,17; Dist: 124
Testing at 9: 3,27; Dist: 124
Testing at 9: 5,29; Dist: 124
Testing at 9: 30,17; Dist: 125
Testing at 9: 31,18; Dist: 125
Testing at 9: 3,28; Dist: 125
Testing at 9: 6,29; Dist: 125
Testing at 9: 5,30; Dist: 125
Testing at 9: 29,17; Dist: 126
Testing at 9: 31,19; Dist: 126
Testing at 9: 3,29; Dist: 126
Testing at 10: 11,40; Dist: 126
Testing at 9: 5,31; Dist: 126
Testing at 9: 30,19; Dist: 127
Testing at 10: 11,39; Dist: 127
Testing at 9: 4,31; Dist: 127
Testing at 9: 5,32; Dist: 127
Testing at 9: 29,19; Dist: 128
Testing at 10: 12,39; Dist: 128
Testing at 10: 10,39; Dist: 128
Testing at 9: 3,31; Dist: 128
Testing at 9: 5,33; Dist: 128
Testing at 9: 28,19; Dist: 129
Testing at 10: 13,39; Dist: 129
Testing at 10: 9,39; Dist: 129
Testing at 9: 4,33; Dist: 129
Testing at 9: 5,34; Dist: 129
Testing at 9: 27,19; Dist: 130
Testing at 10: 13,38; Dist: 130
Testing at 10: 8,39; Dist: 130
Testing at 9: 3,33; Dist: 130
Testing at 9: 5,35; Dist: 130
Testing at 9: 26,19; Dist: 131
Testing at 9: 27,20; Dist: 131
Testing at 9: 27,18; Dist: 131
Testing at 10: 13,37; Dist: 131
Testing at 10: 7,39; Dist: 131
Testing at 9: 2,33; Dist: 131
Testing at 9: 3,34; Dist: 131
Testing at 10: 0,15; Dist: 132
Testing at 9: 27,21; Dist: 132
Testing at 9: 27,17; Dist: 132
Testing at 10: 12,37; Dist: 132
Testing at 10: 13,36; Dist: 132
Testing at 9: 1,33; Dist: 132
Testing at 9: 3,35; Dist: 132
Testing at 10: 1,15; Dist: 133
Testing at 9: 27,22; Dist: 133
Testing at 10: 11,37; Dist: 133
Testing at 10: 13,35; Dist: 133
Testing at 9: 2,35; Dist: 133
Testing at 9: 3,36; Dist: 133
Testing at 10: 2,15; Dist: 134
Testing at 10: 1,16; Dist: 134
Testing at 9: 27,23; Dist: 134
Testing at 10: 12,35; Dist: 134
Testing at 9: 1,35; Dist: 134
Testing at 9: 3,37; Dist: 134
Testing at 10: 3,15; Dist: 135
Testing at 10: 1,17; Dist: 135
Testing at 10: 11,35; Dist: 135
Testing at 9: 2,37; Dist: 135
Testing at 9: 3,38; Dist: 135
Testing at 10: 2,17; Dist: 136
Testing at 10: 0,17; Dist: 136
Testing at 10: 1,18; Dist: 136
Testing at 10: 10,35; Dist: 136
Testing at 10: 11,34; Dist: 136
Testing at 9: 1,37; Dist: 136
Testing at 9: 3,39; Dist: 136
Testing at 10: 3,17; Dist: 137
Testing at 9: 11,34; Dist: 137
Testing at 10: 1,19; Dist: 137
Testing at 10: 9,35; Dist: 137
Testing at 11: 0,17; Dist: 137
Testing at 9: 1,38; Dist: 137
Testing at 10: 4,17; Dist: 138
Testing at 9: 11,35; Dist: 138
Testing at 10: 1,20; Dist: 138
Testing at 10: 8,35; Dist: 138
Testing at 10: 9,36; Dist: 138
Testing at 11: 1,17; Dist: 138
Testing at 9: 1,39; Dist: 138
Testing at 10: 5,17; Dist: 139
Testing at 9: 12,35; Dist: 139
Testing at 9: 10,35; Dist: 139
Testing at 10: 1,21; Dist: 139
Testing at 10: 7,35; Dist: 139
Testing at 10: 9,37; Dist: 139
Testing at 11: 2,17; Dist: 139
Testing at 11: 1,18; Dist: 139
Testing at 11: 1,16; Dist: 139
Testing at 10: 5,16; Dist: 140
Testing at 9: 13,35; Dist: 140
Testing at 9: 9,35; Dist: 140
Testing at 10: 2,21; Dist: 140
Testing at 10: 8,37; Dist: 140
Testing at 11: 3,17; Dist: 140
Testing at 11: 1,19; Dist: 140
Testing at 11: 1,15; Dist: 140
Testing at 10: 5,15; Dist: 141
Testing at 9: 13,36; Dist: 141
Testing at 9: 8,35; Dist: 141
Testing at 9: 9,36; Dist: 141
Testing at 10: 3,21; Dist: 141
Testing at 10: 7,37; Dist: 141
Testing at 11: 4,17; Dist: 141
Testing at 11: 1,20; Dist: 141
Testing at 11: 2,15; Dist: 141
Testing at 11: 0,15; Dist: 141
Testing at 9: 13,37; Dist: 142
Testing at 9: 7,35; Dist: 142
Testing at 9: 9,37; Dist: 142
Testing at 10: 4,21; Dist: 142
Testing at 10: 3,20; Dist: 142
Testing at 10: 6,37; Dist: 142
Testing at 11: 5,17; Dist: 142
Testing at 11: 1,21; Dist: 142
Testing at 11: 3,15; Dist: 142
Testing at 10: 26,19; Dist: 142
Testing at 9: 12,37; Dist: 143
Testing at 9: 13,38; Dist: 143
Testing at 9: 8,37; Dist: 143
Testing at 10: 5,21; Dist: 143
Testing at 10: 3,19; Dist: 143
Testing at 10: 5,37; Dist: 143
Testing at 11: 5,16; Dist: 143
Testing at 11: 2,21; Dist: 143
Testing at 10: 27,19; Dist: 143
Testing at 9: 11,37; Dist: 144
Testing at 9: 13,39; Dist: 144
Testing at 9: 7,37; Dist: 144
Testing at 10: 6,21; Dist: 144
Testing at 10: 5,20; Dist: 144
Testing at 10: 5,38; Dist: 144
Testing at 11: 5,15; Dist: 144
Testing at 11: 3,21; Dist: 144
Testing at 10: 28,19; Dist: 144
Testing at 10: 27,20; Dist: 144
Testing at 10: 27,18; Dist: 144
Testing at 9: 12,39; Dist: 145
Testing at 9: 6,37; Dist: 145
Testing at 11: 15,40; Dist: 145
Testing at 10: 5,19; Dist: 145
Testing at 10: 5,39; Dist: 145
Testing at 11: 4,21; Dist: 145
Testing at 11: 3,20; Dist: 145
Testing at 10: 29,19; Dist: 145
Testing at 10: 27,21; Dist: 145
Testing at 10: 27,17; Dist: 145
Testing at 9: 11,39; Dist: 146
Testing at 9: 5,37; Dist: 146
Testing at 11: 15,39; Dist: 146
Testing at 10: 6,19; Dist: 146
Testing at 11: 5,21; Dist: 146
Testing at 11: 3,19; Dist: 146
Testing at 10: 30,19; Dist: 146
Testing at 10: 27,22; Dist: 146
Testing at 9: 10,39; Dist: 147
Testing at 9: 11,40; Dist: 147
Testing at 9: 5,38; Dist: 147
Testing at 11: 16,39; Dist: 147
Testing at 11: 15,38; Dist: 147
Testing at 11: 23,0; Dist: 147
Testing at 11: 6,21; Dist: 147
Testing at 11: 5,20; Dist: 147
Testing at 10: 31,19; Dist: 147
Testing at 10: 27,23; Dist: 147
Testing at 9: 9,39; Dist: 148
Testing at 8: 6,29; Dist: 148
Testing at 9: 5,39; Dist: 148
Testing at 11: 17,39; Dist: 148
Testing at 11: 15,37; Dist: 148
Testing at 11: 23,1; Dist: 148
Testing at 12: 15,40; Dist: 148
Testing at 11: 5,19; Dist: 148
Testing at 10: 31,18; Dist: 148
Testing at 9: 8,39; Dist: 149
