There are initially 15 bugs
After iteration 1, there are 26 bugs
After iteration 134, there are 1423 bugs
After iteration 135, there are 1380 bugs
After iteration 136, there are 1375 bugs
After iteration 137, there are 1375 bugs
After iteration 138, there are 1348 bugs
After iteration 139, there are 1359 bugs
After iteration 140, there are 1354 bugs
After iteration 141, there are 1456 bugs
After iteration 142, there are 1453 bugs
After iteration 143, there are 1519 bugs
After iteration 144, there are 1370 bugs
After iteration 145, there are 1491 bugs
After iteration 146, there are 1364 bugs
After iteration 147, there are 1454 bugs
After iteration 148, there are 1425 bugs
After iteration 149, there are 1514 bugs
After iteration 150, there are 1499 bugs
After iteration 151, there are 1540 bugs
After iteration 152, there are 1517 bugs
After iteration 153, there are 1551 bugs
After iteration 154, there are 1474 bugs
After iteration 155, there are 1588 bugs
After iteration 156, there are 1441 bugs
After iteration 157, there are 1592 bugs
After iteration 158, there are 1637 bugs
After iteration 159, there are 1597 bugs
After iteration 160, there are 1585 bugs
After iteration 161, there are 1633 bugs
After iteration 162, there are 1639 bugs
After iteration 163, there are 1618 bugs
After iteration 164, there are 1623 bugs
After iteration 165, there are 1700 bugs
After iteration 166, there are 1649 bugs
After iteration 167, there are 1679 bugs
After iteration 168, there are 1611 bugs
After iteration 169, there are 1741 bugs
After iteration 170, there are 1646 bugs
After iteration 171, there are 1715 bugs
After iteration 172, there are 1688 bugs
After iteration 173, there are 1797 bugs
After iteration 174, there are 1678 bugs
After iteration 175, there are 1789 bugs
After iteration 176, there are 1780 bugs
After iteration 177, there are 1768 bugs
After iteration 178, there are 1838 bugs
After iteration 179, there are 1711 bugs
After iteration 180, there are 1739 bugs
After iteration 181, there are 1932 bugs
After iteration 182, there are 1736 bugs
After iteration 183, there are 1863 bugs
After iteration 184, there are 1850 bugs
After iteration 185, there are 1813 bugs
After iteration 186, there are 1864 bugs
After iteration 187, there are 1900 bugs
After iteration 188, there are 1817 bugs
After iteration 189, there are 1904 bugs
After iteration 190, there are 1874 bugs
After iteration 191, there are 2019 bugs
After iteration 192, there are 1871 bugs
After iteration 193, there are 1890 bugs
After iteration 194, there are 1975 bugs
After iteration 195, there are 1950 bugs
After iteration 196, there are 1953 bugs
After iteration 197, there are 2028 bugs
After iteration 198, there are 1967 bugs
After iteration 199, there are 2022 bugs
After iteration 200, there are 1948 bugs
